,Compound Score,Date,Negative Score,Neutral Score,News Outlet,Positive Score,Tweet Count,Tweet Text
12,0.0772,2018-10-03 23:08:28+00:00,0.0,0.936,@BBC,0.064,13,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
13,-0.0258,2018-10-03 23:08:27+00:00,0.211,0.655,@BBC,0.135,14,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
14,-0.0258,2018-10-03 23:08:23+00:00,0.211,0.655,@BBC,0.135,15,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
15,-0.0258,2018-10-03 23:08:15+00:00,0.211,0.655,@BBC,0.135,16,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
16,0.0,2018-10-03 23:07:57+00:00,0.0,1.0,@BBC,0.0,17,@andreasteeleio @BBC @lizbonnin @BBCOne Adults need to be educated also...i don't think people really understand ho… https://t.co/Ap0Cgdmv9B
17,0.3818,2018-10-03 23:07:49+00:00,0.0,0.874,@BBC,0.126,18,"RT @Esther_Voet: Now on #Newsnight, @bbc, Sir David #Attenborough: “The population growth has got to come to an end.”"
18,0.4404,2018-10-03 23:07:48+00:00,0.0,0.879,@BBC,0.121,19,RT @BBC: ❤️ Couples will soon be able to choose a civil partnership instead of a marriage thanks to Rebecca and Charles. https://t.co/nampx…
19,0.0,2018-10-03 23:07:42+00:00,0.0,1.0,@BBC,0.0,20,@carolecadwalla @BBC ....because everyone else must be dead.......
20,0.0,2018-10-03 23:07:14+00:00,0.0,1.0,@BBC,0.0,21,"Was it the junior apprentice on today, because i didn’t see any real business minded adults in week one @bbc  #TheApprentice2018"
21,0.0,2018-10-03 23:06:56+00:00,0.0,1.0,@BBC,0.0,22,RT @BBC: 🎧❤️ Dementia playlists are making such a big difference to these people.  https://t.co/ojVDVuP6to
22,-0.0258,2018-10-03 23:06:39+00:00,0.211,0.655,@BBC,0.135,23,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
23,0.2023,2018-10-03 23:06:24+00:00,0.0,0.904,@BBC,0.096,24,"RT @judithnwana: ‘The election? It doesn't concern us'. According to ICG, the #SouthernCameroons secessionists control ""a significant propo…"
24,0.0,2018-10-03 23:06:24+00:00,0.0,1.0,@BBC,0.0,25,@FoxNews @CNNPolitics @realDonaldTrump @SenateGOP @congressdotgov @SpeakerRyan @SenateDems @seanhannity @Reuters… https://t.co/Il78JyKXQ8
25,0.6932,2018-10-03 23:06:15+00:00,0.0,0.76,@BBC,0.24,26,@Vegan_Worldd @BBC @vegan @veganoutreach  HOW THE FU** he could think its a HAPPY VIBE THERE BRUH?! https://t.co/3ByUkAEFQ7
26,-0.5267,2018-10-03 23:05:58+00:00,0.206,0.794,@BBC,0.0,27,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
27,-0.0258,2018-10-03 23:05:43+00:00,0.211,0.655,@BBC,0.135,28,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
28,-0.0258,2018-10-03 23:05:33+00:00,0.211,0.655,@BBC,0.135,29,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
29,0.0,2018-10-03 23:05:19+00:00,0.0,1.0,@BBC,0.0,30,RT @relovedreams: Wonder why only @bbc journalists were allowed to interview @theresa_may ? 🤔 moderate! Fecking moderate! What's moderate a…
30,0.0772,2018-10-03 23:05:16+00:00,0.0,0.936,@BBC,0.064,31,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
31,-0.2732,2018-10-03 23:05:08+00:00,0.154,0.846,@BBC,0.0,32,"#UNsays Courts in #Nicaragua have relied on testimonies to accuse people of serious crimes in relation to protests,… https://t.co/OVILmKHAFk"
32,-0.5267,2018-10-03 23:04:56+00:00,0.206,0.794,@BBC,0.0,33,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
33,-0.5267,2018-10-03 23:04:53+00:00,0.206,0.794,@BBC,0.0,34,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
34,-0.5267,2018-10-03 23:04:51+00:00,0.206,0.794,@BBC,0.0,35,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
35,-0.0258,2018-10-03 23:04:37+00:00,0.211,0.655,@BBC,0.135,36,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
36,0.0772,2018-10-03 23:04:35+00:00,0.0,0.936,@BBC,0.064,37,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
37,0.6808,2018-10-03 23:04:15+00:00,0.0,0.752,@BBC,0.248,38,"""Then truth behind my fried chicken"" on @BBC

@HezronSpringer goes on a journey

Finds out where his beloved fried… https://t.co/krRFsp4gA1"
38,0.4404,2018-10-03 23:04:11+00:00,0.0,0.734,@BBC,0.266,39,@carolecadwalla @BBC Surely the only question should be WHY?
39,0.802,2018-10-03 23:03:52+00:00,0.0,0.725,@BBC,0.275,40,@BarbaraMcK42 @carolecadwalla @BBC She won an award for it and now Canadian TV are looking into it. For obvious rea… https://t.co/jbGrWVqsvP
40,-0.5267,2018-10-03 23:03:42+00:00,0.206,0.794,@BBC,0.0,41,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
41,0.0772,2018-10-03 23:03:36+00:00,0.0,0.936,@BBC,0.064,42,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
42,-0.6249,2018-10-03 23:03:30+00:00,0.163,0.837,@BBC,0.0,43,"RT @MarkGBblog: What did @10DowningStreet learn from Iraq?
1. Use terrorists instead of troops - Syria 
2. Use 'no-fly zones' for bombing -…"
43,0.0,2018-10-03 23:03:13+00:00,0.0,1.0,@BBC,0.0,44,RT @1TommyBurke: @carolecadwalla @BBC You should sharpen your pen towards BBC news editors and management. It seems highly likely they are…
44,-0.5267,2018-10-03 23:02:57+00:00,0.206,0.794,@BBC,0.0,45,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
45,0.4497,2018-10-03 23:02:55+00:00,0.0,0.882,@BBC,0.118,46,RT @IslaArundel: @carolecadwalla @BBC Is it not time to swallow the unpalatable but unavoidable truth that the BBC has been complicit in th…
46,-0.5267,2018-10-03 23:02:35+00:00,0.206,0.794,@BBC,0.0,47,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
47,-0.0258,2018-10-03 23:02:35+00:00,0.211,0.655,@BBC,0.135,48,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
48,-0.0258,2018-10-03 23:02:28+00:00,0.211,0.655,@BBC,0.135,49,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
49,0.296,2018-10-03 23:02:24+00:00,0.124,0.693,@BBC,0.183,50,RT @TheRodCooper: @carolecadwalla @PoliticsTosser @BBC Appalling woman has a new book to plug. BBC happy to oblige...
50,0.0772,2018-10-03 23:02:24+00:00,0.0,0.936,@BBC,0.064,51,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
51,-0.0258,2018-10-03 23:02:19+00:00,0.211,0.655,@BBC,0.135,52,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
52,-0.6705,2018-10-03 23:02:18+00:00,0.2,0.8,@BBC,0.0,53,"RT @BBC: Over 300,000 marine animals are killed after becoming entangled in fishing gear every year. 
#DrowningInPlastic #PlasticsAction ht…"
53,-0.6808,2018-10-03 23:02:15+00:00,0.272,0.728,@BBC,0.0,54,RT @AmrineDouglas: @carolecadwalla @BBC #BBCswitchoff   Investigate the fraud behind Brexit - how strange that even the Canadian government…
54,0.0,2018-10-03 23:02:05+00:00,0.0,1.0,@BBC,0.0,55,RT @Paine18Tom: @carolecadwalla @BBC https://t.co/BAgyrZi5Zx
55,-0.0258,2018-10-03 23:02:00+00:00,0.211,0.655,@BBC,0.135,56,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
56,0.5994,2018-10-03 23:01:51+00:00,0.0,0.83,@BBC,0.17,57,"RT @_Claire_Ingram: I'm at York's beautiful Holy Trinity Church for the @labsofdc @BBC #WhatIsLove interactive video, based on Object Based…"
57,-0.6705,2018-10-03 23:01:41+00:00,0.2,0.8,@BBC,0.0,58,"RT @BBC: Over 300,000 marine animals are killed after becoming entangled in fishing gear every year. 
#DrowningInPlastic #PlasticsAction ht…"
58,0.4497,2018-10-03 23:01:40+00:00,0.0,0.882,@BBC,0.118,59,RT @IslaArundel: @carolecadwalla @BBC Is it not time to swallow the unpalatable but unavoidable truth that the BBC has been complicit in th…
59,0.2023,2018-10-03 23:01:37+00:00,0.0,0.904,@BBC,0.096,60,"RT @judithnwana: ‘The election? It doesn't concern us'. According to ICG, the #SouthernCameroons secessionists control ""a significant propo…"
60,0.5994,2018-10-03 23:01:33+00:00,0.0,0.83,@BBC,0.17,61,"RT @_Claire_Ingram: I'm at York's beautiful Holy Trinity Church for the @labsofdc @BBC #WhatIsLove interactive video, based on Object Based…"
61,0.0,2018-10-03 23:01:30+00:00,0.0,1.0,@BBC,0.0,62,@JaneSowler @carolecadwalla @BBC I have
62,-0.0258,2018-10-03 23:01:29+00:00,0.211,0.655,@BBC,0.135,63,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
63,0.2023,2018-10-03 23:01:14+00:00,0.0,0.904,@BBC,0.096,64,"RT @judithnwana: ‘The election? It doesn't concern us'. According to ICG, the #SouthernCameroons secessionists control ""a significant propo…"
64,0.5574,2018-10-03 23:00:58+00:00,0.0,0.813,@BBC,0.187,65,"RT @UNICEF_Nigeria: We agree with John Mary - every girl and boy, everywhere in Nigeria, is entitled to attend school and learn. https://t.…"
65,-0.5267,2018-10-03 23:00:22+00:00,0.206,0.794,@BBC,0.0,66,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
66,-0.0258,2018-10-03 22:59:40+00:00,0.211,0.655,@BBC,0.135,67,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
67,-0.7096,2018-10-03 22:59:10+00:00,0.247,0.753,@BBC,0.0,68,"RT @IykeObedOnuorah: Britain thought nigeria how to rig election vote, falsfy census figures. 100yrs later, Britain is still killing Biafra…"
68,0.0772,2018-10-03 22:59:05+00:00,0.0,0.936,@BBC,0.064,69,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
69,0.4497,2018-10-03 22:58:53+00:00,0.0,0.882,@BBC,0.118,70,RT @IslaArundel: @carolecadwalla @BBC Is it not time to swallow the unpalatable but unavoidable truth that the BBC has been complicit in th…
70,0.0,2018-10-03 22:58:47+00:00,0.0,1.0,@BBC,0.0,71,RT @chuffy13579: @PeterTatchell @BBCPolitics I notice @Jo_Coburn skated over the issue you were there to discuss which was the rampant homo…
71,0.0772,2018-10-03 22:58:46+00:00,0.0,0.936,@BBC,0.064,72,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
72,0.7269,2018-10-03 22:58:42+00:00,0.0,0.747,@BBC,0.253,73,"@carolecadwalla @BBC Ok Carole, I’m coming from the position of someone who has loved the BBC since I started liste… https://t.co/oWzed8Lpgc"
73,-0.0258,2018-10-03 22:58:34+00:00,0.211,0.655,@BBC,0.135,74,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
74,0.0,2018-10-03 22:58:27+00:00,0.0,1.0,@BBC,0.0,75,#Youknowyouareabiologistwhen the @BBC mystery has “teeth knocked out by the murderer” and they are OBVIOUSLY health… https://t.co/ymJIYqpMTb
75,-0.0258,2018-10-03 22:58:23+00:00,0.211,0.655,@BBC,0.135,76,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
76,-0.5267,2018-10-03 22:58:21+00:00,0.206,0.794,@BBC,0.0,77,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
77,-0.0258,2018-10-03 22:58:20+00:00,0.211,0.655,@BBC,0.135,78,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
78,-0.5267,2018-10-03 22:58:16+00:00,0.206,0.794,@BBC,0.0,79,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
79,-0.6705,2018-10-03 22:57:56+00:00,0.2,0.8,@BBC,0.0,80,"RT @BBC: Over 300,000 marine animals are killed after becoming entangled in fishing gear every year. 
#DrowningInPlastic #PlasticsAction ht…"
80,-0.5267,2018-10-03 22:57:48+00:00,0.206,0.794,@BBC,0.0,81,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
81,-0.5267,2018-10-03 22:57:38+00:00,0.206,0.794,@BBC,0.0,82,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
82,-0.0258,2018-10-03 22:57:27+00:00,0.211,0.655,@BBC,0.135,83,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
83,-0.0258,2018-10-03 22:57:21+00:00,0.211,0.655,@BBC,0.135,84,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
84,-0.5267,2018-10-03 22:57:14+00:00,0.206,0.794,@BBC,0.0,85,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
85,0.0772,2018-10-03 22:57:13+00:00,0.0,0.936,@BBC,0.064,86,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
86,-0.0258,2018-10-03 22:57:11+00:00,0.211,0.655,@BBC,0.135,87,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
87,-0.0258,2018-10-03 22:57:10+00:00,0.211,0.655,@BBC,0.135,88,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
88,-0.4215,2018-10-03 22:56:52+00:00,0.127,0.82,@BBC,0.053,89,"@carolecadwalla @BBCPanorama @BBC What, you want someone else to do your work for you? Shame on you if you claim to… https://t.co/pOFaocJUht"
89,0.0772,2018-10-03 22:56:40+00:00,0.0,0.936,@BBC,0.064,90,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
90,0.0,2018-10-03 22:56:37+00:00,0.0,1.0,@BBC,0.0,91,RT @AndyGibsonTV: Not only is @ZoeTheBall the first lady to ever present the @BBCRadio2 Breakfast Show. She's the first woman to host BOTH…
91,0.0,2018-10-03 22:56:19+00:00,0.0,1.0,@BBC,0.0,92,@FoxNews @CNNPolitics @realDonaldTrump @SenateGOP @congressdotgov @SpeakerRyan @SenateDems @seanhannity @Reuters… https://t.co/dwyqL6Pb55
92,-0.0258,2018-10-03 22:56:00+00:00,0.211,0.655,@BBC,0.135,93,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
93,-0.5267,2018-10-03 22:55:58+00:00,0.206,0.794,@BBC,0.0,94,"RT @carolecadwalla: When @BBCPanorama dropped its report into both Cambridge Analytica &amp; Vote Leave overspending scandals, I didn't think i…"
94,0.0772,2018-10-03 22:55:50+00:00,0.0,0.936,@BBC,0.064,95,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
95,0.0,2018-10-03 22:55:45+00:00,0.0,1.0,@BBC,0.0,96,"@CapnOveur @A_Liberty_Rebel @theresa_may His video blog was filmed &amp; live streamed on facebook, before &amp; during the… https://t.co/S2BWWXslya"
96,0.0772,2018-10-03 22:55:43+00:00,0.0,0.936,@BBC,0.064,97,RT @carolecadwalla: Number of @bbc reports on Kremlin's attempts to influence @arron_banks &amp; @nigel_farage's LeaveEU campaign? 0. If any pa…
97,0.4588,2018-10-03 22:55:40+00:00,0.0,0.81,@BBC,0.19,98,RT @swabhimani1: Aadhar Related #SupremeCourt Verdict &amp; Controversy: What will happen if you already shared the #AADHARCARD ?... https://t.…
98,-0.0258,2018-10-03 22:55:35+00:00,0.211,0.655,@BBC,0.135,99,RT @carolecadwalla: Perfect. I look forward to her getting no hard questions on her role in colluding with - and covering up - Russian inte…
99,0.34,2018-10-03 22:55:22+00:00,0.0,0.893,@BBC,0.107,100,"RT @jaenturismo: Nigel Barden @NigelBarden, una de las voces más autorizadas de la gastronomía del #ReinoUnido (@BBC) ha visitado el stand…"
0,0.0,2018-10-03 23:09:34+00:00,0.0,1.0,@CBS,0.0,1,@colbertlateshow @happytogether @CBS @wayansjr But why does the screenshot say Waynes? https://t.co/HXrevbBWdg
1,0.1867,2018-10-03 23:09:27+00:00,0.0,0.927,@CBS,0.073,2,"RT @SEALTeamWriters: It's go time, boys. 👏🏽👏🏽👏🏽 Season 2 of @SEALTeamCBS premieres in TWO HOURS at 9/8c on @CBS. Don't miss it! ❤️🇺🇸⚓️ #SEA…"
2,0.3612,2018-10-03 23:09:26+00:00,0.0,0.902,@CBS,0.098,3,RT @CBSWatch: Stylin’ and profilin’. See the cast of @CrimMinds_CBS like you never have before 👉 https://t.co/snhiKhXWBW Then catch them fo…
3,0.5719,2018-10-03 23:08:39+00:00,0.0,0.829,@CBS,0.171,4,@colbertlateshow @happytogether @CBS @wayansjr He's right. But I think the easiest way to know that the Earth is ru… https://t.co/WOvx6xPVdW
4,0.4515,2018-10-03 23:08:29+00:00,0.0,0.881,@CBS,0.119,5,"RT @colbertlateshow: Is the Earth round or flat? Or neither? Damon Wayans Jr., star of @HappyTogether on @CBS, helps us settle this #FlatEa…"
5,0.0,2018-10-03 23:08:29+00:00,0.0,1.0,@CBS,0.0,6,RT @ATWATEROBSERVER: RESIST! @CBS @ABC7 @NBCLA @FoxNews @FOXLA @OANN @SenateGOP @WhiteHouse @lisamurkowski @SenBobCorker @HouseGOP @DC #Was…
6,0.8313,2018-10-03 23:08:16+00:00,0.0,0.506,@CBS,0.494,7,@Deniselamond23 @ScottBakula @NCISNewOrleans @CBS @JDS_PR 😊 thank you!
7,0.5848,2018-10-03 23:08:04+00:00,0.0,0.807,@CBS,0.193,8,RT @survivorcbs: Sit back and relax... it's #Survivor night! Join @JeffProbst for all the adventure tonight at 8/7c on @CBS and @cbsallacce…
8,0.8313,2018-10-03 23:07:54+00:00,0.0,0.506,@CBS,0.494,9,@colinschamp @ScottBakula @NCISNewOrleans @CBS @JDS_PR Thank you! 😊
9,0.1867,2018-10-03 23:07:45+00:00,0.0,0.927,@CBS,0.073,10,"RT @SEALTeamWriters: It's go time, boys. 👏🏽👏🏽👏🏽 Season 2 of @SEALTeamCBS premieres in TWO HOURS at 9/8c on @CBS. Don't miss it! ❤️🇺🇸⚓️ #SEA…"
10,0.0,2018-10-03 23:07:39+00:00,0.0,1.0,@CBS,0.0,11,@colbertlateshow @happytogether @CBS @wayansjr https://t.co/DCaADKeSfb
11,0.0,2018-10-03 23:07:02+00:00,0.0,1.0,@CBS,0.0,12,@colbertlateshow @happytogether @CBS @wayansjr “The Flat Earth Society has members all over the globe” -Statment by the Flat Earth Society 🤔
12,0.0,2018-10-03 23:06:30+00:00,0.0,1.0,@CBS,0.0,13,@BillClinton @HillaryClinton r Shameless/Soulless/Dispicable beasts!!!! @POTUS @VP @WhiteHouse @FLOTUS… https://t.co/Y9oBs46Fbh
13,0.0,2018-10-03 23:06:30+00:00,0.0,1.0,@CBS,0.0,14,@Linda3760 @PopBreakDotCom @happytogether @CBS I did not know Harry Styles was an executive producer. That explains a lot.
14,0.6249,2018-10-03 23:06:26+00:00,0.0,0.769,@CBS,0.231,15,RT @Backstage: Now Casting: @CBS's 'The Code' needs background to play Marines Special Op Raiders + 2 more gigs https://t.co/niGdDNGNfx htt…
15,0.1867,2018-10-03 23:06:22+00:00,0.0,0.927,@CBS,0.073,16,"RT @SEALTeamWriters: It's go time, boys. 👏🏽👏🏽👏🏽 Season 2 of @SEALTeamCBS premieres in TWO HOURS at 9/8c on @CBS. Don't miss it! ❤️🇺🇸⚓️ #SEA…"
16,0.4515,2018-10-03 23:06:04+00:00,0.0,0.881,@CBS,0.119,17,"RT @colbertlateshow: Is the Earth round or flat? Or neither? Damon Wayans Jr., star of @HappyTogether on @CBS, helps us settle this #FlatEa…"
17,0.0,2018-10-03 23:04:52+00:00,0.0,1.0,@CBS,0.0,18,RT @JanelleRichrdsn: @netflix @PrimeVideo @hallmarkchannel @hulu @cbs @nbc @UniversalTV @21CF_Impact @IFC @TNTDrama @HallmarkDrama @AMC_TV…
18,0.0,2018-10-03 23:04:44+00:00,0.0,1.0,@CBS,0.0,19,@JanelleRichrdsn @netflix @PrimeVideo @hallmarkchannel @hulu @CBS @nbc @UniversalTV @21CF_Impact @IFC @tntdrama… https://t.co/jU7reAMxl5
19,0.09,2018-10-03 23:04:24+00:00,0.091,0.798,@CBS,0.111,20,"No hope for @JeffFlake, he's a Dem-in-disguise. But I believe @lisamurkowski &amp; @SenatorCollins are reasonable ppl w… https://t.co/54qcwoQfN5"
20,0.893,2018-10-03 23:03:43+00:00,0.0,0.584,@CBS,0.416,21,@SEALTeamCBS @David_Boreanaz @CBS Welcome back! You are all amazingly talented and make every episode a joy to watc… https://t.co/LRVYgzmX6c
21,0.2158,2018-10-03 23:02:52+00:00,0.119,0.736,@CBS,0.145,22,RT @SaraRamirez: For the record @CBS has been nothing but gracious and generous to me. They are open to Callie coming back! The ball is in…
22,0.3182,2018-10-03 23:02:34+00:00,0.0,0.874,@CBS,0.126,23,RT @cykelly1718: @WR_Patterson @AnnCoulter @realDonaldTrump @MSNBC @FoxNews @CNN @ABC @CBS @NBCNews @cspan Truth? #SerialLIAR trump has NEV…
23,0.0,2018-10-03 23:02:28+00:00,0.0,1.0,@CBS,0.0,24,@TomPerez @DNC @USSenate @MSNBC @CNN @CBS @ABC @NBCNews @SteveKornacki @mmurraypolitics https://t.co/RRV0DMXLP3
24,0.7027,2018-10-03 23:02:26+00:00,0.0,0.789,@CBS,0.211,25,RT @cykelly1718: @AnnCoulter @realDonaldTrump That is a WOW! The #MSM (@MSNBC @FoxNews @CNN @ABC @CBS @NBCNews @cspan) are finally getting…
25,0.1867,2018-10-03 23:02:11+00:00,0.0,0.927,@CBS,0.073,26,"RT @SEALTeamWriters: It's go time, boys. 👏🏽👏🏽👏🏽 Season 2 of @SEALTeamCBS premieres in TWO HOURS at 9/8c on @CBS. Don't miss it! ❤️🇺🇸⚓️ #SEA…"
26,0.3612,2018-10-03 23:02:03+00:00,0.0,0.902,@CBS,0.098,27,RT @CBSWatch: Stylin’ and profilin’. See the cast of @CrimMinds_CBS like you never have before 👉 https://t.co/snhiKhXWBW Then catch them fo…
27,0.75,2018-10-03 23:01:56+00:00,0.0,0.748,@CBS,0.252,28,RT @SEALTeamBrigade: Tonight they shine!  #sealteam is back for an exciting season 2. Tonight 8/9C on @cbs @SEALTeamCBS   Thanks AJ @David_…
28,0.3182,2018-10-03 23:01:54+00:00,0.0,0.892,@CBS,0.108,29,"RT @DearAuntCrabby: A plea to the media: @ABC @CBS @NBCnews @PBS @CNN @MSNBC 

Please Don't cover @RealDonaldTrump's rally's. Use only one…"
29,0.0,2018-10-03 23:01:50+00:00,0.0,1.0,@CBS,0.0,30,"RT @carlquintanilla: Premiering on this date in 1959, a new series on @CBS called “The Twilight Zone”.

Pilot ep: “Where Is Everybody?”, st…"
30,0.0,2018-10-03 23:01:44+00:00,0.0,1.0,@CBS,0.0,31,RT @SEALTeamBrigade: @AjohnBuckley is taking over @SEALTeamCBS on IG today!  #sealteam - Tonight 8/9C on @cbs @SEALTeamCBS @David_Boreanaz…
